m2,state,rooms,price,status,adress,long,lat,price_m2
85,construidos , 2 recs. ,1600000,Casa en venta ," Av de las Américas 0 , Moderna , Benito Juárez , Distrito Federal ",-99.1331631,19.396592899999998,18823.529411764706
280,construidos , 5 recs. ,7500000,Casa en venta ," Martin Mendalde 1443 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1706413,19.3701619,26785.714285714286
286,construidos , 4 recs. ,11353000,Casa en venta ," Providencia 716 Casa 5 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1686006,19.391191199999998,39695.804195804194
414,construidos , 5 recs. ,12000000,Casa en venta ," Letran Valle , Benito Juárez , Distrito Federal ",-99.1543144,19.375445000000003,28985.507246376812
195,construidos , 3 recs. ,6720285,Casa en venta ," Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15530160000002,19.3807458,34463.0
247,construidos , 3 recs. ,15046668,Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1724994,19.3668017,60917.68421052631
389,construidos , 4 recs. ,15000000,Casa en venta ," ANEXAGORAS 55 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1564931,19.4020802,38560.411311053984
170,construidos , 3 recs. ,7800000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,45882.35294117647
420,construidos , 5 recs. ,14500000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,34523.80952380953
251,construidos , 3 recs. ,14916609,Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. , Benito Juárez , Distrito Federal ",-99.1556202,19.3658746,59428.721115537846
400,construidos , 3 recs. ,13000000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,32500.0
428,construidos , 4 recs. ,13000000,Casa en venta ," Letran Valle , Benito Juárez , Distrito Federal ",-99.1543144,19.375445000000003,30373.831775700935
235,construidos , 3 recs. ,14268042,Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. , Benito Juárez , Distrito Federal ",-99.1556202,19.3658746,60715.07234042553
249,construidos , 3 recs. ,15219666,Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. , Benito Juárez , Distrito Federal ",-99.1556202,19.3658746,61123.156626506025
261,construidos , 3 recs. ,10800000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,41379.31034482759
268,construidos , 3 recs. ,10240000,Casa en venta ," Xoco , Benito Juárez , Distrito Federal ",-99.16637310000002,19.362510999999998,38208.9552238806
600,construidos , 5 recs. ,40000000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,66666.66666666667
260,construidos , 3 recs. ,11675000,Casa en venta ," Juan Sánchez Azcona , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1641051,19.3780013,44903.846153846156
188,construidos , 3 recs. ,7450000,Casa en venta ," Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1649891,19.3817299,39627.65957446808
321,construidos , 3 recs. ,16900000,Casa en venta ," Aniceto Ortega 914 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1655344,19.3773449,52647.97507788162
365,construidos , 3 recs. ,14500000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,39726.02739726027
325,construidos , 3 recs. ,11900000,Casa en venta ," SALOME PIÑA 26 , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18682220000001,19.3682332,36615.38461538462
720,construidos , 20 recs. ,39500000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,54861.11111111111
290,construidos , 5 recs. ,9600000,Casa en venta ," Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1497664,19.3928098,33103.44827586207
280,construidos , 3 recs. ,9750000,Casa en venta ," 1722, avenida CoyoacanAvenida Coyoacan , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.17257990000002,19.364476100000005,34821.42857142857
365,construidos , 3 recs. ,13000000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,35616.438356164384
300,construidos , 4 recs. ,15000000,Casa en venta ," Luz Saviñon , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1598681,19.3912607,50000.0
250,construidos , 5 recs. ,6870000,Casa en venta ," tripoli 711 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1542745,19.3653653,27480.0
137,construidos , 3 recs. ,3999999,Casa en venta ," Isabel la Católica 910 , Postal , Benito Juárez , Distrito Federal ",-99.1420668,19.3896995,29197.07299270073
259,construidos , 4 recs. ,9800000,Casa en venta ," Calle 5 16 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1844078,19.393524,37837.83783783784
264,construidos , 3 recs. ,11425000,Casa en venta ," SÁNCHEZ AZCONA 1539 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1650095,19.374125199999998,43276.51515151515
286,construidos , 5 recs. ,11350000,Casa en venta ," Providencia , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1698538,19.3875083,39685.31468531468
270,de terreno , 3 recs. ,11990000,Casa en venta ," Casa José Ignacio Bartolache , Benito Juárez , Distrito Federal ",-99.1718328,19.3709881,44407.40740740741
260,construidos , 5 recs. ,12600000,Casa en venta ," Providencia 912 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1695522,19.3875065,48461.53846153846
190,construidos , 3 recs. ,10000000,Casa en venta ," DEL VALLE , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,52631.57894736842
247,construidos , 4 recs. ,9600000,Casa en venta ," San Borja 514 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1684276,19.3853999,38866.396761133605
188,construidos , 3 recs. ,9200000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,48936.17021276596
200,construidos , 3 recs. ,12950000,Casa en venta ," Acacias , Benito Juárez , Distrito Federal ",-99.1739857,19.362863100000002,64750.0
275,construidos , 4 recs. ,10400000,Casa en venta ," Fragonard , San Juan , Benito Juárez , Distrito Federal ",-99.1841035,19.376732399999998,37818.181818181816
278,construidos , 3 recs. ,8890000,Casa en venta ," Calle 9 103 bis , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1827886,19.391348100000002,31978.41726618705
750,construidos , 7 recs. ,20000000,Casa en venta ," Avenida 3 00 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.18349470000001,19.3919477,26666.666666666668
238,construidos , 3 recs. ,10400000,Casa en venta ," Fragonard 48 , San Juan , Benito Juárez , Distrito Federal ",-99.1842162,19.3773285,43697.47899159664
322,construidos , 3 recs. ,11900000,Casa en venta ," Adolfo Prieto 1332 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.17059,19.379951000000002,36956.52173913043
361,construidos , 3 recs. ,13250000,Casa en venta ," Uvas 36 (Conjunto Uvas) Casa 5 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1743083,19.38026,36703.60110803324
283,construidos , 3 recs. ,12750000,Casa en venta ," LA QUEMADA , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.14920179999999,19.392472899999998,45053.0035335689
180,construidos , 3 recs. ,5848490,Casa en venta ," Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15530160000002,19.3807458,32491.61111111111
215,construidos , 2 recs. ,9600000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,44651.16279069767
283,construidos , 3 recs. ,12000000,Casa en venta ," La Quemada , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.14920179999999,19.392472899999998,42402.826855123676
230,construidos , 3 recs. ,9900000,Casa en venta ," Mier y Pesado 0001 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1637177,19.4004562,43043.47826086957
247,construidos , 3 recs. ,15046668,Casa en venta ," Casa en Preventa en Del Valle Sur, Benito Juarez, Ciudad de México. , Benito Juárez , Distrito Federal ",-99.1556202,19.3658746,60917.68421052631
340,construidos , 4 recs. ,8650000,Casa en venta ," Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15530160000002,19.3807458,25441.176470588234
553,construidos , 7 recs. ,27900000,Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1580693,19.3923907,50452.07956600362
266,construidos , 5 recs. ,8650000,Casa en venta ," Letran Valle , Benito Juárez , Distrito Federal ",-99.1543144,19.375445000000003,32518.796992481202
85,construidos , 2 recs. ,1600000,Casa en venta ," Av de las Américas 0 , Moderna , Benito Juárez , Distrito Federal ",-99.1331631,19.396592899999998,18823.529411764706
280,construidos , 5 recs. ,7500000,Casa en venta ," Martin Mendalde 1443 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1706413,19.3701619,26785.714285714286
286,construidos , 4 recs. ,11353000,Casa en venta ," Providencia 716 Casa 5 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1686006,19.391191199999998,39695.804195804194
414,construidos , 5 recs. ,12000000,Casa en venta ," Letran Valle , Benito Juárez , Distrito Federal ",-99.1543144,19.375445000000003,28985.507246376812
195,construidos , 3 recs. ,6720285,Casa en venta ," Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15530160000002,19.3807458,34463.0
247,construidos , 3 recs. ,15046668,Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1724994,19.3668017,60917.68421052631
389,construidos , 4 recs. ,15000000,Casa en venta ," ANEXAGORAS 55 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1564931,19.4020802,38560.411311053984
170,construidos , 3 recs. ,7800000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,45882.35294117647
420,construidos , 5 recs. ,14500000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,34523.80952380953
200,construidos , 3 recs. ,11000000,Casa en venta ," FELIX PARRA 176 , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.1847245,19.363206299999998,55000.0
315,de terreno , 3 recs. ,11995100,Casa en venta ," Casa 3 EN Condominio.en Venta. al 300 , Benito Juárez , Distrito Federal ",-99.1788953,19.3752041,38079.68253968254
307,construidos , 4 recs. ,10800000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,35179.15309446254
360,construidos , 3 recs. ,12850000,Casa en venta ," Acacias , Benito Juárez , Distrito Federal ",-99.1739857,19.362863100000002,35694.444444444445
170,construidos , 3 recs. ,7800000,Casa en venta ," Amores 1 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1623341,19.4010592,45882.35294117647
343,construidos , 4 recs. ,12450000,Casa en venta ," Providencia 1117 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1709055,19.3832389,36297.376093294464
700,construidos ,,30950000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,44214.28571428572
243,construidos , 4 recs. ,9800000,Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1580693,19.3923907,40329.21810699588
247,construidos , 4 recs. ,8300000,Casa en venta ," Indiana 78 , Nápoles , Benito Juárez , Distrito Federal ",-99.1796415,19.389148199999998,33603.23886639676
364,construidos , 4 recs. ,10350000,Casa en venta ," Bartolache 1147 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1702875,19.384017,28434.065934065933
258,construidos , 3 habs. ,11400000,Casa en venta ," Porfirio Díaz , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.17394279999999,19.381116,44186.04651162791
202,construidos , 3 recs. ,8500000,Casa en venta ," Parque Mariscal Sucre 18 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1649048,19.3916426,42079.207920792076
505,construidos , 3 recs. ,15500000,Casa en venta ," Manuel Lopez Cotilla 1862 , Acacias , Benito Juárez , Distrito Federal ",-99.1710228,19.3624834,30693.069306930694
436,construidos , 7 recs. ,16200000,Casa en venta ," Obrero Mundial 400 , Piedad Narvarte , Benito Juárez , Distrito Federal ",-99.156071,19.401940600000003,37155.963302752294
301,construidos , 4 recs. ,11800000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,39202.65780730897
372,construidos , 3 recs. ,14500000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,38978.49462365591
191,cubiertos , 4 habs. ,5550000,Casa en venta ," Hilario Perez de Leon 67 , Américas Unidas , Benito Juárez , Distrito Federal ",-99.1407833,19.3844124,29057.59162303665
770,construidos , 5 recs. ,33000000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,42857.142857142855
258,construidos , 3 recs. ,8550000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,33139.53488372093
326,construidos ,,11500000,Casa en venta ," Av. Eugenia , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1657416,19.3870509,35276.073619631905
264,construidos , 3 recs. ,11835000,Casa en venta ," Juan Sanchez Acona 1013 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1637566,19.3795967,44829.545454545456
250,construidos , 4 recs. ,15046668,Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1724994,19.3668017,60186.672
400,construidos , 3 recs. ,13000000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,32500.0
200,construidos , 3 recs. ,3000000,Casa en venta ," Calle Balboa 740 , Portales Sur , Benito Juárez , Distrito Federal ",-99.145518,19.363369600000002,15000.0
290,construidos , 4 recs. ,9980000,Casa en venta ," Narvarte996 , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1497664,19.3928098,34413.793103448275
290,construidos , 3 recs. ,14000000,Casa en venta ," Súper Casa en Venta en Letran Valle. La Mejor , Letran Valle , Benito Juárez , Distrito Federal ",-99.1541457,19.3736421,48275.862068965514
290,construidos , 3 recs. ,14000000,Casa en venta ," Súper Casa en Venta en Letran Valle. La Mejor , Letran Valle , Benito Juárez , Distrito Federal ",-99.1541457,19.3736421,48275.862068965514
400,construidos , 3 recs. ,13400000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,33500.0
240,construidos , 4 recs. ,5850000,Casa en venta ," Alamos , Benito Juárez , Distrito Federal ",-99.1414643,19.399121,24375.0
373,construidos , 3 recs. ,14500000,Casa en venta ," Uvas 36 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1743083,19.38026,38873.99463806971
314,construidos , 4 recs. ,12800000,Casa en venta ," Juan Sánchez Azcona1552 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1649829,19.373310800000002,40764.331210191085
190,construidos , 3 recs. ,3500000,Casa en venta ," Avenida Emperadores 78 , Portales , Benito Juárez , Distrito Federal ",-99.1447288,19.3657887,18421.052631578947
240,construidos , 4 recs. ,9800000,Casa en venta ," Miguel Laurent 156 , Tlacoquemécatl Del Valle , Benito Juárez , Distrito Federal ",-99.17197440000001,19.3768889,40833.333333333336
348,construidos , 3 recs. ,13000000,Casa en venta ," Patricio Sanz , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.17268370000001,19.381808300000003,37356.32183908046
244,construidos , 3 recs. ,8400000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,34426.229508196724
188,construidos , 3 recs. ,7150000,Casa en venta ," ANAXAGORAS 00 , Narvarte , Benito Juárez , Distrito Federal ",-99.1578263,19.3868038,38031.914893617024
194,construidos , 5 recs. ,6700000,Casa en venta ," Presidentes 34 , Portales Oriente , Benito Juárez , Distrito Federal ",-99.1401888,19.3662475,34536.0824742268
271,construidos , 3 recs. ,8500000,Casa en venta ," pilares 408 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1659333,19.37796,31365.31365313653
283,construidos , 3 recs. ,6500000,Casa en venta ," Martín Luis Guzmán 297 , Villa De Cortes , Benito Juárez , Distrito Federal ",-99.1347316,19.387724,22968.197879858657
141,construidos , 3 recs. ,5300000,Casa en venta ," Nativitas , Benito Juárez , Distrito Federal ",-99.13662190000001,19.3809507,37588.65248226951
150,construidos , 3 recs. ,4100000,Casa en venta ," Calle Rumania 923 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1472368,19.3610592,27333.333333333332
264,construidos , 3 recs. ,11425000,Casa en venta ," SÁNCHEZ AZCONA 1539 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1650095,19.374125199999998,43276.51515151515
500,construidos , 4 recs. ,17000000,Casa en venta ," Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1497664,19.3928098,34000.0
240,construidos , 4 recs. ,6000000,Casa en venta ," LUIS BRAILE 250 , Independencia , Benito Juárez , Distrito Federal ",-99.1518001,19.3789835,25000.0
206,construidos , 3 recs. ,6658351,Casa en venta ," Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15530160000002,19.3807458,32322.09223300971
403,cubiertos , 3 cuartos ,18500000,Casa en venta ," Insurgentes Mixcoac , Benito Juárez , Distrito Federal ",-99.1836755,19.3726839,45905.707196029776
345,cubiertos , 3 cuartos ,9000000,Casa en venta ," Ixcateopan 201 , Letran Valle , Benito Juárez , Distrito Federal ",-99.15855520000001,19.3752716,26086.956521739132
490,construidos , 7 recs. ,16500000,Casa en venta ," PALENQUE 413 , Narvarte , Benito Juárez , Distrito Federal ",-99.1533438,19.383402800000002,33673.4693877551
395,construidos , 5 recs. ,12900000,Casa en venta ," Monte Alban 229 , Narvarte , Benito Juárez , Distrito Federal ",-99.1509069,19.3896074,32658.227848101265
236,cubiertos , 4 recs. ,7500000,Casa en venta ," La Quemada 0001 , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.14920179999999,19.392472899999998,31779.661016949154
250,construidos , 4 recs. ,8000000,Casa en venta ," Mitla 397 , Colonia Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1506961,19.385236300000003,32000.0
296,construidos , 5 recs. ,11990000,Casa en venta ," EMPRESA 1 , Insurgentes Mixcoac , Benito Juárez , Distrito Federal ",-99.18013690000001,19.3737133,40506.75675675676
368,construidos , 5 recs. ,10000000,Casa en venta ," San Pedro de los Pinos , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.18575200000001,19.3880449,27173.91304347826
165,construidos , 3 recs. ,6400000,Casa en venta ," Alabama 153 , Nápoles , Benito Juárez , Distrito Federal ",-99.17885890000001,19.3897729,38787.878787878784
192,construidos , 2 recs. ,8600000,Casa en venta ," Miguel Serrano 13 , 4 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16337970000001,19.3812147,44791.666666666664
900,construidos , 5 recs. ,11000000,Casa en venta ," Canarias 103 , Portales , Benito Juárez , Distrito Federal ",-99.1463286,19.3717783,12222.222222222223
166,construidos , 3 recs. ,6000000,Casa en venta ," Calle Gabriel Mancera 46 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1611075,19.399637300000002,36144.57831325301
216,construidos , 3 recs. ,9200000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,42592.59259259259
315,cubiertos , 4 cuartos ,13500000,Casa en venta ," Nicolas San Juan 1450 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16567320000001,19.373520000000003,42857.142857142855
470,construidos ,,31000000,Casa en venta ," Calle 12 0001 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1886168,19.3886893,65957.44680851063
450,construidos , 6 recs. ,12600000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,28000.0
553,construidos , 7 recs. ,27900000,Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1580693,19.3923907,50452.07956600362
214,construidos , 3 recs. ,5400000,Casa en venta ," Zempoala , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1485469,19.3924891,25233.644859813085
580,construidos , 3 cuartos ,33000000,Casa en venta ," 1CDA SAN BORJA , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1689339,19.3858463,56896.55172413793
389,cubiertos , 4 habs. ,15500000,Casa en venta ," ANEXAGORAS 29 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1564584,19.4030945,39845.75835475578
261,construidos , 3 habs. ,11135000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,42662.835249042146
194,cubiertos , 3 recs. ,6720285,Casa en venta ," Monte Albán 396. Narvarte , Vértiz Narvarte , Benito Juárez , Distrito Federal ",-99.15118259999998,19.383543,34640.64432989691
550,construidos , 4 recs. ,29000000,Casa en venta ," Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1649891,19.3817299,52727.27272727273
217,construidos , 3 recs. ,10350000,Casa en venta ," Cda. San Borja 0001 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1682636,19.3864859,47695.85253456221
124,construidos , 3 recs. ,2700000,Casa en venta ," Castilla 142 , Alamos , Benito Juárez , Distrito Federal ",-99.1427276,19.3972141,21774.1935483871
243,construidos , 4 recs. ,10950000,Casa en venta ," Narvarte , Benito Juárez , Distrito Federal ",-99.1580693,19.3923907,45061.72839506173
400,cubiertos , 3 recs. ,13400000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,33500.0
168,cubiertos , 3 recs. ,7290000,Casa en venta ," Calle 20 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1876935,19.3865974,43392.857142857145
141,cubiertos , 3 recs. ,5300000,Casa en venta ," Nativitas , Benito Juárez , Distrito Federal ",-99.13662190000001,19.3809507,37588.65248226951
310,cubiertos , 4 habs. ,7800000,Casa en venta ," Napoleón 00 , Moderna , Benito Juárez , Distrito Federal ",-99.136668,19.393577,25161.290322580644
485,construidos , 4 habs. ,12999987,Casa en venta ," Edzna 164 , Letran Valle , Benito Juárez , Distrito Federal ",-99.1492691,19.3762396,26804.096907216495
307,cubiertos , 5 habs. ,11400000,Casa en venta ," Providencia , 8 De Agosto , Benito Juárez , Distrito Federal ",-99.1698538,19.3875083,37133.55048859935
396,construidos , 3 recs. ,12600000,Casa en venta ," Patricio Sanz 1230 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.17299840000001,19.380043399999998,31818.18181818182
298,construidos , 3 habs. ,15800000,Casa en venta ," Xoco , Benito Juárez , Distrito Federal ",-99.16637310000002,19.362510999999998,53020.13422818792
180,construidos , 2 recs. ,6295000,Casa en venta ," 150, avenida 1ero de mayoAvenida 1ero de Mayo , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1871147,19.391773399999998,34972.22222222222
424,construidos , 5 recs. ,10000000,Casa en venta ," uxmal 225 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1548488,19.3930283,23584.905660377357
257,cubiertos , 4 habs. ,7300000,Casa en venta ," SAN FELIPE 1 , Xoco , Benito Juárez , Distrito Federal ",-99.1649617,19.361924,28404.66926070039
